Wood price index obtained from GENESIS database:
GENESIS-Tabelle: 61231-0002 (verändert)
Erzeugerpreisindizes der Produkte des Holzeinschlags aus den Staatsforsten: Deutschland, Monate, Messzahlen ohne Umsatzsteuer, Produkte des Holzeinschlags 
Erzeugerpreisindex der Produkte des Holzeinschlags Deutschland
Erzeugerpreisindizes d. Produkte d. Holzeinschlags (2010=100)
__________
(C)opyright Statistisches Bundesamt (Destatis), 2019
Stand: 19.02.2019 / 10:38:39

"","Oak","Beech","Spruce","Pine"
"1",92.2,100,82.4,92.7
"2",94.1,100.2,80.5,92.9
"3",95.7,99.1,80.7,90.1
"4",96.6,99.1,79,87.5
"5",87.9,98.5,78.9,85.4
"6",93.1,98,78,84.1
"7",87.5,97.7,78.7,85.4
"8",82.8,94.3,78.9,84.2
"9",83.9,95.5,79.5,84.6
"10",94.6,99.6,81.4,84.5
"11",104,99.4,84.8,87.3
"12",106.2,102.6,91.9,90.4
"13",95.4,104.3,90.5,92.9
"14",99.6,104.4,90.8,99.1
"15",90.6,104.4,89.6,94.6
"16",92.2,103.2,89.5,92.4
"17",91.1,106.1,88.9,91.3
"18",93.1,101.6,89.1,90.2
"19",95.6,100.7,90.2,91.5
"20",89.9,97.6,91.7,90.2
"21",87.9,98.9,93.8,91.6
"22",110.9,114.7,103.3,99.1
"23",103.6,116.7,105.4,98
"24",102.9,119.4,110.6,106.1
"25",102.9,121.2,112.4,108.4
"26",98.8,122.4,113,106.5
"27",83.5,121.6,112.8,105.3
"28",84.2,118.4,111,103.3
"29",84.7,114.7,107.6,97.5
"30",78.6,113.7,105.9,97.4
"31",82.2,114.9,102.1,93.5
"32",79.4,111.6,98.2,92.7
"33",80.5,109.1,97.3,90.2
"34",78.3,108.2,91.7,84.2
"35",74.2,107.4,88.9,84.6
"36",75.8,118.4,83,90.7
"37",87,107.7,74,86.8
"38",88.7,105.4,69.6,89.3
"39",76.3,105.8,66.7,87.4
"40",76.3,101.7,60.5,81.5
"41",72.3,101.2,56,78.2
"42",73,81,52.5,72.9
"43",72.7,78.7,51.7,70.2
"44",69.9,89,51,70.6
"45",61.7,72.3,53.7,67.3
"46",58.6,84,54.7,69.5
"47",60.1,65.6,55.1,72.9
"48",57.4,82.3,63.3,79.2
"49",59.2,111.6,63.3,83.8
"50",74.8,127.2,70.6,92
"51",81.2,129.7,75.9,91
"52",72.7,129.4,79.7,88.1
"53",71,129.4,74.3,85.2
"54",69.7,116.7,78,75.6
"55",69.2,111.6,77.1,74.6
"56",66.6,103.7,78.2,80.2
"57",71.4,110.6,77,76.4
"58",57.4,107.6,73.7,75.3
"59",59.6,98.1,76.7,72.7
"60",77,118.4,76.7,81.2
"61",73.4,118.2,74.7,82.4
"62",80.4,120.8,70.8,84.3
"63",82.8,117.3,68,80.1
"64",76.9,117.4,66.7,77.6
"65",73.5,111.8,62.9,70.8
"66",68,103.5,59.4,66.1
"67",73.5,101.6,59.8,64.3
"68",72.7,104.4,60.4,67.3
"69",74.2,98.1,59.6,66.1
"70",56,113.7,61.5,69.5
"71",66.3,95.8,66.3,67.5
"72",85,115.6,69.4,75.1
"73",86.4,109.9,75,79.4
"74",83.6,114.7,77.2,78.4
"75",77.8,111.9,78.5,74.1
"76",75.9,110.7,77.2,73.1
"77",73.9,109.1,79.4,70.7
"78",74.6,111.1,80.4,72.3
"79",73.5,99.1,79.3,68
"80",74.8,105.7,79.1,69.5
"81",74.2,103.6,80.1,69.7
"82",72.2,100,80.2,70.9
"83",79.5,115.7,82,76.4
"84",84.9,125.1,83.5,77.3
"85",82.4,125.2,87.8,86.4
"86",84.1,124.8,89,88.3
"87",84.5,123.7,89.6,89.4
"88",85.8,121.4,88.9,86.5
"89",82,119.4,88.9,84.6
"90",79.3,118.4,88.1,82.6
"91",78.1,112.9,85.5,80.9
"92",77.8,105.2,83.2,77.8
"93",79.1,102.2,80.1,75.5
"94",68.7,103.9,78.9,78.3
"95",74.8,109.6,77.9,75.7
"96",84.4,128.5,76.5,82.4
"97",74.4,126.7,77.7,82
"98",75.2,125.7,75.3,79.6
"99",72.5,121.1,73.8,80.2
"100",72.3,120.4,72.8,78.1
"101",60.4,117.7,70.5,72.6
"102",62.9,115.5,71,69
"103",59.4,106.1,71.3,71.4
"104",61.8,108.1,71.8,69.3
"105",65.7,106.5,71.9,71.4
"106",68.4,118.4,74.2,71.1
"107",72.8,121.8,77.2,72.7
"108",71,122.9,77.9,72.5
"109",74.3,122.4,78.9,78.3
"110",79.1,122.3,78.5,76.8
"111",82.1,121.5,81.3,76.3
"112",71.9,117.5,82.3,74.7
"113",72.8,116.6,83.2,74.6
"114",76.7,113.8,84.5,73.3
"115",66.1,104.7,84.4,73.6
"116",62.8,109.6,84,72.6
"117",65.4,114.5,85.9,75.6
"118",65.4,115.5,87.9,76.9
"119",67.8,127.2,89.1,78
"120",70.5,128.5,87.8,81
"121",74.4,129.2,89.9,85.8
"122",77.3,128.9,92.2,83.1
"123",73.1,126.6,91.7,81.3
"124",73.1,124.2,90.5,79.7
"125",70.7,119.3,90.8,79.7
"126",65.8,120.7,90.2,77.2
"127",61.4,106.1,90.7,75.4
"128",64.2,121.1,90.2,75.8
"129",64,113.4,90.5,77
"130",67.3,118.6,91.3,79.1
"131",71.5,126,91,80
"132",74.3,128.7,93.2,81.5
"133",99.1,132.7,94.8,84.4
"134",87.1,129.3,95,85.1
"135",84.6,132.6,96.4,84.7
