"","Vivian-Wiebke","Vivian-Wiebke.l1","Vivian-Wiebke.l2","Kyrill","Kyrill.l1","Kyrill.l2"
"1988",0,0,0,0,0,0
"1988.08333333333",0,0,0,0,0,0
"1988.16666666667",0,0,0,0,0,0
"1988.25",0,0,0,0,0,0
"1988.33333333333",0,0,0,0,0,0
"1988.41666666667",0,0,0,0,0,0
"1988.5",0,0,0,0,0,0
"1988.58333333333",0,0,0,0,0,0
"1988.66666666667",0,0,0,0,0,0
"1988.75",0,0,0,0,0,0
"1988.83333333333",0,0,0,0,0,0
"1988.91666666667",0,0,0,0,0,0
"1989",0,0,0,0,0,0
"1989.08333333333",0,0,0,0,0,0
"1989.16666666667",0,0,0,0,0,0
"1989.25",0,0,0,0,0,0
"1989.33333333333",0,0,0,0,0,0
"1989.41666666667",0,0,0,0,0,0
"1989.5",0,0,0,0,0,0
"1989.58333333333",0,0,0,0,0,0
"1989.66666666667",0,0,0,0,0,0
"1989.75",0,0,0,0,0,0
"1989.83333333333",0,0,0,0,0,0
"1989.91666666667",0,0,0,0,0,0
"1990",1,0,0,0,0,0
"1990.08333333333",1,0,0,0,0,0
"1990.16666666667",1,0,0,0,0,0
"1990.25",1,0,0,0,0,0
"1990.33333333333",1,0,0,0,0,0
"1990.41666666667",1,0,0,0,0,0
"1990.5",1,0,0,0,0,0
"1990.58333333333",1,0,0,0,0,0
"1990.66666666667",1,0,0,0,0,0
"1990.75",1,0,0,0,0,0
"1990.83333333333",1,0,0,0,0,0
"1990.91666666667",1,0,0,0,0,0
"1991",0,1,0,0,0,0
"1991.08333333333",0,1,0,0,0,0
"1991.16666666667",0,1,0,0,0,0
"1991.25",0,1,0,0,0,0
"1991.33333333333",0,1,0,0,0,0
"1991.41666666667",0,1,0,0,0,0
"1991.5",0,1,0,0,0,0
"1991.58333333333",0,1,0,0,0,0
"1991.66666666667",0,1,0,0,0,0
"1991.75",0,1,0,0,0,0
"1991.83333333333",0,1,0,0,0,0
"1991.91666666667",0,1,0,0,0,0
"1992",0,0,1,0,0,0
"1992.08333333333",0,0,1,0,0,0
"1992.16666666667",0,0,1,0,0,0
"1992.25",0,0,1,0,0,0
"1992.33333333333",0,0,1,0,0,0
"1992.41666666667",0,0,1,0,0,0
"1992.5",0,0,1,0,0,0
"1992.58333333333",0,0,1,0,0,0
"1992.66666666667",0,0,1,0,0,0
"1992.75",0,0,1,0,0,0
"1992.83333333333",0,0,1,0,0,0
"1992.91666666667",0,0,1,0,0,0
"1993",0,0,0,0,0,0
"1993.08333333333",0,0,0,0,0,0
"1993.16666666667",0,0,0,0,0,0
"1993.25",0,0,0,0,0,0
"1993.33333333333",0,0,0,0,0,0
"1993.41666666667",0,0,0,0,0,0
"1993.5",0,0,0,0,0,0
"1993.58333333333",0,0,0,0,0,0
"1993.66666666667",0,0,0,0,0,0
"1993.75",0,0,0,0,0,0
"1993.83333333333",0,0,0,0,0,0
"1993.91666666667",0,0,0,0,0,0
"1994",0,0,0,0,0,0
"1994.08333333333",0,0,0,0,0,0
"1994.16666666667",0,0,0,0,0,0
"1994.25",0,0,0,0,0,0
"1994.33333333333",0,0,0,0,0,0
"1994.41666666667",0,0,0,0,0,0
"1994.5",0,0,0,0,0,0
"1994.58333333333",0,0,0,0,0,0
"1994.66666666667",0,0,0,0,0,0
"1994.75",0,0,0,0,0,0
"1994.83333333333",0,0,0,0,0,0
"1994.91666666667",0,0,0,0,0,0
"1995",0,0,0,0,0,0
"1995.08333333333",0,0,0,0,0,0
"1995.16666666667",0,0,0,0,0,0
"1995.25",0,0,0,0,0,0
"1995.33333333333",0,0,0,0,0,0
"1995.41666666667",0,0,0,0,0,0
"1995.5",0,0,0,0,0,0
"1995.58333333333",0,0,0,0,0,0
"1995.66666666667",0,0,0,0,0,0
"1995.75",0,0,0,0,0,0
